variablename,short description,years,longer description,sources
foreign_born,Foreign-born population,2005–2012,Percentage of state population who are foreign born,"Pew Research Center, Hispanic Trends Projection (based on American Community Survey data): http://www.pewhispanic.org/2014/04/29/statistical- portrait-of-the-foreign-born-population-in-the-united-states-2012/#foreign- born-by-state-2012
Reich, Gary. 'Immigrant legislation, across and within the United States.'
Research & Politics 4.4 (2017): 1–11."
newimmig,New immigrant green card holders,1988–2011,Persons obtaining legal permanent resident status by state of residence: fiscal years 1988 to 2011. The fiscal year runs from October 1 through September 30. A permanent resident is defined as a green card holder who has been granted lawful authorization to live and work in the United States on a permanent basis.,"U.S. Department of Homeland Security. 'Persons Obtaining Legal Permanent Resident Status by State of Residence: Fiscal Years 1988 to 2011.' https://www.dhs.gov/publication/yearbook-immigration-statistics-2011-legal- permanent-residents.
Originally provided by Stateminder: A data visualization project from Georgetown University. http://stateminder.org/ (no longer accessible online)
Notes: To obtain permanent resident status, most individuals are sponsored by a family member or employer in the United States. Other individuals may become permanent residents through refugee or asylee status or other humanitarian programs. In some cases, people may be eligible to file for themselves."
undocumented_immigrants,Estimated number of undocumented immigrants,"1990, 2000,
2005, 2007,
2010","Estimated number of unauthorized immigrants in a state Notes: data are estimates by Pew Hispanic Center, not actual counts. Several observations are recorded as '< 5,000' and '< 10,000' rather than discrete estimates.","Passel, Jeffrey S., and D’Vera Cohn. 2011. 'Unauthorized Immigrant Population: National and State Trends, 2010.' Pew Research Center."
refugeetotal,Refugee total,2000–2012,Number of refugees arriving per state per fiscal year. The fiscal year runs from October 1 through September 30.,"U.S. Department of Health & Human Services—Office of Refugee Resettlement. 'Refugee Arrival Data.' http://www.acf.hhs.gov/programs/orr/resource/refugee-arrival-data.
Originally provided by Stateminder: A data visualization project from Georgetown University. http://stateminder.org/ (no longer accessible online)
Note: To be eligible for refugee status, an applicant must meet the definition of a refugee set forth in 101(a)(42) of the Immigration and Nationality Act: a person who is unable or unwilling to return to his or her country of nationality because of persecution or a well-founded fear of persecution on account of race, religion, nationality, membership in a particular social group, or political opinion."
pop_annual,Total state population,1929–2012,"Total population in the state, measured annually.","Klarner, Carl, 2013, 'State Economic Data', https://doi.org/10.7910/DVN/KMWN7N, Harvard Dataverse, V1
Source (2012): http://www.bizjournals.com/bizjournals/on-numbers/scott- thomas/2012/06/californias-population-passes- 38.html?appSession=10897383915145&RecordID=&PageID=2&PrevPageI D=&cpipage=3&CPISortType=&CPIorderBy"
dimmhed,Undocumented immigrants’ access to public higher education,2000–2017,"Undocumented immigrants' access to public higher education (-1 = banned from all public universities, -0.5 = banned from some public universities, 0 = no in-state tuition, 0.5 = in-state tuition at some universities, 0.75 = in- state tuition for community colleges and transfers to 4-years, 1 = in-state tuition statewide)","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
immig_laws_restrict,Total restrictive immigrant laws passed,2005–2012,Number of 'restrictive' laws relating to immigrants passed in the year,"Reich, Gary. 'Immigrant legislation, across and within the United States.'
Research & Politics 4.4 (2017): 1–11."
immig_laws_accom,Total accommodating immigrant laws passed,2005–2012,Number of 'accommodating' laws relating to immigrants passed in the year,"Reich, Gary. 'Immigrant legislation, across and within the United States.'
Research & Politics 4.4 (2017): 1–11."
immig_laws_neut,Total neutral immigrant laws passed,2005–2012,Number of 'neutral' laws relating to immigrants passed in the year,"Reich, Gary. 'Immigrant legislation, across and within the United States.'
Research & Politics 4.4 (2017): 1–11."
immig_laws_total,Total immigrant laws passed,2005–2012,Total laws relating to immigrants passed in the year,"Reich, Gary. 'Immigrant legislation, across and within the United States.'
Research & Politics 4.4 (2017): 1–11."
immigration_english_language,English is official language,1970–2014,"Is English the state’s official language? (0 = no, 1 = yes)","Caughey, Devin, and Christopher Warshaw. 2015. 'The Dynamics of State Policy Liberalism, 1936–2014.' American Journal of Political Science, September. doi: 10.1111/ajps.12219. https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/Z XZMJB"
immigration_instate_tuition_illegalimmigrants,In-state tuition for immigrants,2001–2014,"Does the state allow in-state tuition for illegal immigrants? (0 = no, 1 = yes)","Caughey, Devin, and Christopher Warshaw. 2015. 'The Dynamics of State Policy Liberalism, 1936–2014.' American Journal of Political Science, September. doi: 10.1111/ajps.12219. https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/Z XZMJB"
engonly,English-only law,1900–2007,0 = policy not adopted 1 = policy adopted,"Boehmke, Frederick J., and Paul Skinner. 'State policy innovativeness revisited.' State Politics & Policy Quarterly 12.3 (2012): 303-329."
all_other_taxes,All other taxes,2012–2016,"All state government finance data from the Census Bureau are in 1,000s of current dollars.",United States Census Bureau: https://factfinder.census.gov/faces/nav/jsf/pages/programs.xhtml?program=as gov
corporation_net_income_taxes,Corporation net income taxes,2012–2016,"All state government finance data from the Census Bureau are in 1,000s of current dollars.",United States Census Bureau: https://factfinder.census.gov/faces/nav/jsf/pages/programs.xhtml?program=as gov
current_charges,Current charges,2012–2016,"All state government finance data from the Census Bureau are in 1,000s of current dollars.",United States Census Bureau: https://factfinder.census.gov/faces/nav/jsf/pages/programs.xhtml?program=as gov
exp_correction,"General expenditure, by function: correction",1942–2016,"All state government finance data from the Census Bureau are in 1,000s of current dollars.",United States Census Bureau: https://factfinder.census.gov/faces/nav/jsf/pages/programs.xhtml?program=as gov
exp_direct,Total expenditure: direct expenditure,2012–2016,"All state government finance data from the Census Bureau are in 1,000s of current dollars.",United States Census Bureau: https://factfinder.census.gov/faces/nav/jsf/pages/programs.xhtml?program=as gov
exp_direct_assistance_subsidies,Total expenditure: direct expenditure (assistance and subsidies),2012–2016,"All state government finance data from the Census Bureau are in 1,000s of current dollars.",United States Census Bureau: https://factfinder.census.gov/faces/nav/jsf/pages/programs.xhtml?program=as gov
exp_direct_capital_outlay,Total expenditure: direct expenditure (capital outlay),2012–2016,"All state government finance data from the Census Bureau are in 1,000s of current dollars.",United States Census Bureau: https://factfinder.census.gov/faces/nav/jsf/pages/programs.xhtml?program=as gov
exp_direct_current_operations,Total expenditure: direct expenditure (current operations),2012–2016,"All state government finance data from the Census Bureau are in 1,000s of current dollars.",United States Census Bureau: https://factfinder.census.gov/faces/nav/jsf/pages/programs.xhtml?program=as gov
exp_direct_insurance,Total expenditure: direct expenditure (insurance benefits and repayments),2012–2016,"All state government finance data from the Census Bureau are in 1,000s of current dollars.",United States Census Bureau: https://factfinder.census.gov/faces/nav/jsf/pages/programs.xhtml?program=as gov
exp_direct_interest,Total expenditure: direct expenditure (interest on debt),2012–2016,"All state government finance data from the Census Bureau are in 1,000s of current dollars.",United States Census Bureau: https://factfinder.census.gov/faces/nav/jsf/pages/programs.xhtml?program=as gov
exp_education,"General expenditure, by function: education",1942–2016,"All state government finance data from the Census Bureau are in 1,000s of current dollars.",United States Census Bureau: https://factfinder.census.gov/faces/nav/jsf/pages/programs.xhtml?program=as gov
exp_general_intergovernmental,"General expenditure, by function: intergovernment al general expenditure",2012–2016,"All state government finance data from the Census Bureau are in 1,000s of current dollars.",United States Census Bureau: https://factfinder.census.gov/faces/nav/jsf/pages/programs.xhtml?program=as gov
exp_governmental_administration,"General expenditure, by function: governmental administration",1942–2016,"All state government finance data from the Census Bureau are in 1,000s of current dollars.",United States Census Bureau: https://factfinder.census.gov/faces/nav/jsf/pages/programs.xhtml?program=as gov
exp_health,"General expenditure, by function: health",1942–2016,"All state government finance data from the Census Bureau are in 1,000s of current dollars.",United States Census Bureau: https://factfinder.census.gov/faces/nav/jsf/pages/programs.xhtml?program=as gov
exp_highways,"General expenditure, by function: highways",1942–2016,"All state government finance data from the Census Bureau are in 1,000s of current dollars.",United States Census Bureau: https://factfinder.census.gov/faces/nav/jsf/pages/programs.xhtml?program=as gov
exp_hospitals,"General expenditure, by function: hospitals",1942–2016,"All state government finance data from the Census Bureau are in 1,000s of current dollars.",United States Census Bureau: https://factfinder.census.gov/faces/nav/jsf/pages/programs.xhtml?program=as gov
exp_interest_on_general_debt,"General expenditure, by function: interest on general debt",1942–2016,"All state government finance data from the Census Bureau are in 1,000s of current dollars.",United States Census Bureau: https://factfinder.census.gov/faces/nav/jsf/pages/programs.xhtml?program=as gov
exp_intergovernmental,Total expenditure: intergovernment al expenditure,2012–2016,"All state government finance data from the Census Bureau are in 1,000s of current dollars.",United States Census Bureau: https://factfinder.census.gov/faces/nav/jsf/pages/programs.xhtml?program=as gov
exp_natural_resources,"General expenditure, by function: natural resources",1942–2016,"All state government finance data from the Census Bureau are in 1,000s of current dollars.",United States Census Bureau: https://factfinder.census.gov/faces/nav/jsf/pages/programs.xhtml?program=as gov
exp_other_and_unallocable,"General expenditure, by function: other and unallocable",1942–2016,"All state government finance data from the Census Bureau are in 1,000s of current dollars.",United States Census Bureau: https://factfinder.census.gov/faces/nav/jsf/pages/programs.xhtml?program=as gov
exp_parks_and_recreation,"General expenditure, by function: parks and recreation",1942–2016,"All state government finance data from the Census Bureau are in 1,000s of current dollars.",United States Census Bureau: https://factfinder.census.gov/faces/nav/jsf/pages/programs.xhtml?program=as gov
exp_police_protection,"General expenditure, by function: police protection",1942–2016,"All state government finance data from the Census Bureau are in 1,000s of current dollars.",United States Census Bureau: https://factfinder.census.gov/faces/nav/jsf/pages/programs.xhtml?program=as gov
exp_public_welfare,"General expenditure, by function: public welfare",1942–2016,"All state government finance data from the Census Bureau are in 1,000s of current dollars.",United States Census Bureau: https://factfinder.census.gov/faces/nav/jsf/pages/programs.xhtml?program=as gov
exp_salaries_wages,Total expenditure (exhibit): salaries and wages,2012–2016,"All state government finance data from the Census Bureau are in 1,000s of current dollars.",United States Census Bureau: https://factfinder.census.gov/faces/nav/jsf/pages/programs.xhtml?program=as gov
general_sales_receipts_taxes,General sales and gross receipts taxes,2012–2016,"All state government finance data from the Census Bureau are in 1,000s of current dollars.",United States Census Bureau: https://factfinder.census.gov/faces/nav/jsf/pages/programs.xhtml?program=as gov
hincomemed,Median household income,1984–2011,The median of all household incomes in a state. 2011 CPI-U-RS adjusted dollars.,"U.S. Census Bureau. 2012. 'Median Household Income by State - Single- Year Estimates.' Accessed at: http://www.census.gov/topics/income- poverty/income.html.
Originally provided by Stateminder: A data visualization project from Georgetown University. http://stateminder.org/ (no longer accessible online)"
individual_income_taxes,Individual income taxes,2012–2016,"All state government finance data from the Census Bureau are in 1,000s of current dollars.",United States Census Bureau: https://factfinder.census.gov/faces/nav/jsf/pages/programs.xhtml?program=as gov
insurance_trust_expenditure,Insurance trust expenditure,2012–2016,"All state government finance data from the Census Bureau are in 1,000s of current dollars.",United States Census Bureau: https://factfinder.census.gov/faces/nav/jsf/pages/programs.xhtml?program=as gov
insurance_trust_revenue,Insurance trust revenue,2012–2016,"All state government finance data from the Census Bureau are in 1,000s of current dollars.",United States Census Bureau: https://factfinder.census.gov/faces/nav/jsf/pages/programs.xhtml?program=as gov
intergovernmental_revenue,Intergovernment al revenue,2012–2016,"Intergovernmental state revenue. All state government finance data are in 1,000s of current dollars.",United States Census Bureau: https://factfinder.census.gov/faces/nav/jsf/pages/programs.xhtml?program=as gov
license_taxes,License taxes,2012–2016,"All state government finance data from the Census Bureau are in 1,000s of current dollars.",United States Census Bureau: https://factfinder.census.gov/faces/nav/jsf/pages/programs.xhtml?program=as gov
liquor_stores_expenditure,Liquor stores expenditure,2012–2016,"All state government finance data from the Census Bureau are in 1,000s of current dollars.",United States Census Bureau: https://factfinder.census.gov/faces/nav/jsf/pages/programs.xhtml?program=as gov
liquor_stores_revenue,Liquor stores revenue,2012–2016,"All state government finance data from the Census Bureau are in 1,000s of current dollars.",United States Census Bureau: https://factfinder.census.gov/faces/nav/jsf/pages/programs.xhtml?program=as gov
lotticksales,Lottery ticket sales,1992–2002,"Lottery ticket sales for instant tickets, three-digit, four-digit, lotto and other tickets (excluding commissions) (in thousands)","U.S. Census Bureau. 2009. 'Lottery Sales—Type of Game and Use of Proceeds.'
Originally provided by Stateminder: A data visualization project from Georgetown University. http://stateminder.org/ (no longer accessible online)
Note: Data from Census is actually originally from TLF Publications, Inc., Boyds, MD, 2009 World Lottery Almanac (copyright)."
lotadmincosts,Lottery administration costs,1992–1999,Lottery administration costs (in thousands),"U.S. Census Bureau. 2012. 'Lottery Prize Amounts Awarded.'
Originally provided by Stateminder: A data visualization project from Georgetown University. http://stateminder.org/ (no longer accessible online)"
lotprize,Lottery prize amounts awarded,1992–2002,Lottery prize amounts awarded (in thousands),"U.S. Census Bureau. 2012. 'Lottery Prize Amounts Awarded.'
Originally provided by Stateminder: A data visualization project from Georgetown University. http://stateminder.org/ (no longer accessible online)"
miscellaneous_general_revenue,Miscellaneous general revenue,2012–2016,"All state government finance data from the Census Bureau are in 1,000s of current dollars.",United States Census Bureau: https://factfinder.census.gov/faces/nav/jsf/pages/programs.xhtml?program=as gov
selective_sales_receipts_taxes,Selective sales and gross receipts taxes,2012–2016,"All state government finance data from the Census Bureau are in 1,000s of current dollars.",United States Census Bureau: https://factfinder.census.gov/faces/nav/jsf/pages/programs.xhtml?program=as gov
taxrevcorporate,"Tax revenue, corporate net income",1946–2011,"Taxes on net income of corporations and unincorporated businesses (when taxed separately from individual income). Includes distinctively imposed net income taxes on special kinds of corporations (e.g., financial institutions). Measured in thousands of dollars. Sum of tax revenue from corporate net income.","U.S. Census Bureau. 2011. 'State Government Tax Collections.' Originally provided by Stateminder: A data visualization project from
Georgetown University. http://stateminder.org/ (no longer accessible online)"
total_holdings,Total cash and security holdings,2012–2016,"All state government finance data from the Census Bureau are in 1,000s of current dollars.",United States Census Bureau: https://factfinder.census.gov/faces/nav/jsf/pages/programs.xhtml?program=as gov
utility_expenditure,Utility expenditure,2012–2016,"All state government finance data from the Census Bureau are in 1,000s of current dollars.",United States Census Bureau: https://factfinder.census.gov/faces/nav/jsf/pages/programs.xhtml?program=as gov
utility_revenue,Utility revenue,2012–2016,"All state government finance data from the Census Bureau are in 1,000s of current dollars.",United States Census Bureau: https://factfinder.census.gov/faces/nav/jsf/pages/programs.xhtml?program=as gov
firms,Number of firms,1988–2010,"Number of Firms. A firm is a business organization consisting of one or more domestic establishments in the same state and industry that were specified under common ownership or control. The firm and the establishment are the same for single-establishment firms. For each multi-establishment firm, establishments in the same industry within a state will be counted as one firm—the firm employment and annual payroll are summed from the associated establishments.","US Census Bureau. Statistics of US Businesses. 2012. 'SUSB totals for U.S. & States.'
Originally provided by Stateminder: A data visualization project from Georgetown University. http://stateminder.org/ (no longer accessible online)"
patents,Number of patents granted,1998–2011,"This variable displays the number of
U.S. patents distributed by U.S. state and by calendar year of grant, and it counts documents of utility patents (i.e., patents for invention) granted by the U.S. Patent and Trademark Office.","U.S. Patent and Trademark Office. 2012. 'Number of Patents Granted as Distributed by Year of Patent Grant, Breakout by U.S. State and Foreign Country of Origin.' Accessed at: http://www.uspto.gov/web/offices/ac/ido/oeip/taf/cst_utl.htm.
Originally provided by Stateminder: A data visualization project from Georgetown University. http://stateminder.org/ (no longer accessible online)
Note: The origin of a patent is determined by the residence of the first-named inventor. A patent is a document, issued by an authorized governmental agency, granting the right to exclude anyone else from the production or use of a specific new device, or process for a stated number of years. The grant is issued to the inventor after an examination that focuses on both the novelty and potential utility of the item. Pre-1998 data is omitted due to aggregation of years between 1963-1998 in the report."
valueofagsect,"Value added to
U.S. economy by agricultural sector",1950–2011,"Net value-added is the sector’s contribution to the national economy and is the sum of the income from production earned by all factors-of- production, regardless of ownership (thousands of dollars)","Economic Research Service/USDA. 2011. 'Value Added to the U.S. Economy by the agricultural sector via the production of goods and services 1949-2011.' Accessed at: http://www.ers.usda.gov/data-products/farm- income-and-wealth-statistics.aspx.
Originally provided by Stateminder: A data visualization project from Georgetown University. http://stateminder.org/ (no longer accessible online)"
farmpayment,Government direct farm payments,1949–2011,Aggregate sum of direct payments from programs in respective years by the government to farmers (thousands of dollars),"Economic Research Service/USDA. 2012. 'Government payments, by program and State, 1990-2011.' http://www.ers.usda.gov/data-products/farm- income-and-wealth-statistics.aspx.
Originally provided by Stateminder: A data visualization project from Georgetown University. http://stateminder.org/ (no longer accessible online)"
atkin_index,Atkinson Index,1917–2013,State income inequality measured by Atkinson Index,"Frank, Mark W. 'U.S. State-Level Income Inequality Data.' http://www.shsu.edu/eco_mwf/inequality.html"
gini_coef,Gini coefficient,1917–2013,State income inequality measured by Gini coefficient,"Frank, Mark W. 'U.S. State-Level Income Inequality Data.' http://www.shsu.edu/eco_mwf/inequality.html"
incshare_top001,Top 0.01% share of income,1917–2013,Share of total income earned by the top 0.01% of earners,"Frank, Mark W. 'U.S. State-Level Income Inequality Data.' http://www.shsu.edu/eco_mwf/inequality.html
For methodology, see: Frank, Mark, Estelle Sommeiller, Mark Price, and Emmanuel Saez. 2015. 'Frank-Sommeiller-Price Series for Top Income Shares by US States since 1917.'"
incshare_top01,Top 0.1% share of income,1917–2013,Share of total income earned by the top 0.1% of earners,"Frank, Mark W. 'U.S. State-Level Income Inequality Data.' http://www.shsu.edu/eco_mwf/inequality.html
For methodology, see: Frank, Mark, Estelle Sommeiller, Mark Price, and Emmanuel Saez. 2015. 'Frank-Sommeiller-Price Series for Top Income Shares by US States since 1917.'"
incshare_top05,Top 0.5% share of income,1917–2013,Share of total income earned by the top 0.5% of earners,"Frank, Mark W. 'U.S. State-Level Income Inequality Data.' http://www.shsu.edu/eco_mwf/inequality.html
For methodology, see: Frank, Mark, Estelle Sommeiller, Mark Price, and Emmanuel Saez. 2015. 'Frank-Sommeiller-Price Series for Top Income Shares by US States since 1917.'"
incshare_top1,Top 1% share of income,1917–2013,Share of total income earned by the top 1% of earners,"Frank, Mark W. 'U.S. State-Level Income Inequality Data.' http://www.shsu.edu/eco_mwf/inequality.html
For methodology, see: Frank, Mark, Estelle Sommeiller, Mark Price, and Emmanuel Saez. 2015. 'Frank-Sommeiller-Price Series for Top Income Shares by US States since 1917.'"
incshare_top5,Top 5% share of income,1917–2013,Share of total income earned by the top 5% of earners,"Frank, Mark W. 'U.S. State-Level Income Inequality Data.' http://www.shsu.edu/eco_mwf/inequality.html. For methodology, see: Frank, Mark, Estelle Sommeiller, Mark Price, and Emmanuel Saez. 2015. 'Frank-Sommeiller-Price Series for Top Income Shares by US States since 1917.'"
incshare_top10,Top 10% share of income,1917–2013,Share of total income earned by the top 10% of earners,"Frank, Mark W. 'U.S. State-Level Income Inequality Data.' http://www.shsu.edu/eco_mwf/inequality.html
For methodology, see: Frank, Mark, Estelle Sommeiller, Mark Price, and Emmanuel Saez. 2015. 'Frank-Sommeiller-Price Series for Top Income Shares by US States since 1917.'"
theil_index,Theil Index,1917–2013,State income inequality measured by Theil Index,"Frank, Mark W. 'U.S. State-Level Income Inequality Data.' http://www.shsu.edu/eco_mwf/inequality.html"
is_a_state,State dummy variable,1929–2012,1 = is a state. 0 = DC and national data.,"Klarner, Carl, 2013, 'State Economic Data', https://doi.org/10.7910/DVN/KMWN7N, Harvard Dataverse, V1"
region,U.S. region,1929–2012,"If state is located in South (1), West (2), Midwest (3), Northeast (4).","Klarner, Carl, 2013, 'State Economic Data', https://doi.org/10.7910/DVN/KMWN7N, Harvard Dataverse, V1
Notes: The codes do not reflect the numeric codes used by the Census"
bfh_cpi_multiplier,Change in state consumer price index,1960–2010,"Change between years was established with the following formula.
{[State_cpi_bfh_est (time t) – State_cpi_bfh_est (time t-1)] / State_cpi_bfh_est (time t-1)}+1","Klarner, Carl, 2013, 'State Economic Data', https://doi.org/10.7910/DVN/KMWN7N, Harvard Dataverse, V1
Notes on construction of variable: i"
budget_surplus,Budget surplus estimate,1942–2016,Computed by: General_revenue – general_expenditure. Note: this is not a good measure of a state’s budget surplus in one year.,"Klarner, Carl, 2013, 'State Economic Data', https://doi.org/10.7910/DVN/KMWN7N, Harvard Dataverse, V1
STATA CODE: gen budget_surplus= general_revenue- general_expenditure Coded years 2012-2016 using the above code"
budget_surplus_gsp,Budget surplus as pct. of GSP,1942–2016,Budget surplus as percent of gross state product,"Klarner, Carl, 2013, 'State Economic Data', https://doi.org/10.7910/DVN/KMWN7N, Harvard Dataverse, V1
STATA CODE:
gen budget_surplus_gsp= (budget_surplus/(gsp_q*1000))*100
Coded years 2012-2016 using the above code"
budget_surplus_inc,Budget surplus as pct. of personal income,1941–2009,Budget surplus as percent of personal income.,"Klarner, Carl, 2013, 'State Economic Data', https://doi.org/10.7910/DVN/KMWN7N, Harvard Dataverse, V1
STATA CODE: gen budget_surplus_inc= (budget_surplus/personal_income1000s_b)*100"
